,Jimmy Kill,Jimmy Team Fight,Jimmy Push,Jimmy Gank,Jimmy Farm,Jimmy Group Fight,Jimmy Roshan,Jimmy Roam,Jimmy Split Push,Jimmy No Label
Erica Kill,22,10,0,2,0,1,1,0,0,78
Erica Team Fight,0,203,0,2,0,15,2,0,0,3
Erica Push,2,50,83,0,27,2,0,20,0,116
Erica Gank,14,0,1,17,5,0,0,5,0,51
Erica Farm,2,0,9,1,325,2,0,23,0,73
Erica Group Fight,8,6,0,5,1,42,0,1,0,20
Erica Roshan,0,0,0,0,0,0,30,0,0,1
Erica Roam,2,1,9,2,12,5,4,165,0,20
Erica Split Push,0,3,0,0,0,0,0,0,2,0
Erica No Label,22,4,11,5,20,20,2,44,0,0
