Kill,Team Fight,Push,Gank,Farm,Group Fight,Roshan,Roam,Split Push,No Label,TimeStamp,Kill,Team Fight,Push,Gank,Farm,Group Fight,Roshan,Roam,Split Push,No Label,TimeStamp
0,0,0,0,1,0,0,0,0,0,"[610, 706]",0,0,0,0,1,0,0,0,0,0,"[609, 707]"
0,0,0,0,1,0,0,0,0,0,"[726, 861]",0,0,0,0,1,0,0,0,0,0,"[730, 826]"
0,0,0,0,1,0,0,0,0,0,"[726, 861]",0,0,0,0,1,0,0,0,0,0,"[846, 857]"
0,0,0,0,1,0,0,0,0,0,"[896, 914]",0,0,0,0,1,0,0,0,0,0,"[898, 914]"
0,0,0,0,1,0,0,0,0,0,"[928, 947]",0,0,0,0,1,0,0,0,0,0,"[933, 946]"
0,0,0,0,1,0,0,0,0,0,"[999, 1177]",0,0,0,0,1,0,0,0,0,0,"[1002, 1037]"
0,0,0,0,1,0,0,0,0,0,"[999, 1177]",0,0,0,0,1,0,0,0,0,0,"[1047, 1121]"
1,0,0,0,0,0,0,0,0,0,"[1177, 1188]",1,0,0,0,0,0,0,0,0,0,"[1181, 1186]"
0,0,0,0,1,0,0,0,0,0,"[1204, 1384]",0,0,0,0,1,0,0,0,0,0,"[1204, 1282]"
0,0,0,0,1,0,0,0,0,0,"[1204, 1384]",0,0,0,0,1,0,0,0,0,0,"[1299, 1329]"
0,0,0,0,1,0,0,0,0,0,"[1204, 1384]",0,0,0,0,1,0,0,0,0,0,"[1342, 1384]"
0,0,0,1,0,0,0,0,0,0,"[1476, 1489]",0,0,0,1,0,0,0,0,0,0,"[1473, 1489]"
0,0,0,0,0,1,0,0,0,0,"[1824, 1838]",0,0,0,0,0,1,0,0,0,0,"[1830, 1838]"
0,0,0,0,1,0,0,0,0,0,"[1396, 1490]",0,0,0,0,1,0,0,0,0,0,"[1399, 1425]"
0,0,0,0,1,0,0,0,0,0,"[1396, 1490]",0,0,0,0,1,0,0,0,0,0,"[1431, 1445]"
0,0,0,0,1,0,0,0,0,0,"[1396, 1490]",0,0,0,0,1,0,0,0,0,0,"[1470, 1479]"
0,0,0,0,1,0,0,0,0,0,"[1535, 1809]",0,0,0,0,1,0,0,0,0,0,"[1537, 1550]"
0,0,0,0,1,0,0,0,0,0,"[1535, 1809]",0,0,0,0,1,0,0,0,0,0,"[1566, 1621]"
0,0,0,0,1,0,0,0,0,0,"[1535, 1809]",0,0,0,0,1,0,0,0,0,0,"[1636, 1666]"
0,0,0,0,1,0,0,0,0,0,"[1535, 1809]",0,0,0,0,1,0,0,0,0,0,"[1674, 1739]"
0,0,0,0,1,0,0,0,0,0,"[1535, 1809]",0,0,0,0,1,0,0,0,0,0,"[1749, 1809]"
0,0,0,0,1,0,0,0,0,0,"[1854, 1892]",0,0,0,0,1,0,0,0,0,0,"[1854, 1909]"
0,0,0,0,1,0,0,0,0,0,"[1920, 2322]",0,0,0,0,1,0,0,0,0,0,"[1922, 1988]"
0,0,0,0,1,0,0,0,0,0,"[1920, 2322]",0,0,0,0,1,0,0,0,0,0,"[1997, 2062]"
0,0,0,0,1,0,0,0,0,0,"[1920, 2322]",0,0,0,0,1,0,0,0,0,0,"[2087, 2131]"
0,0,0,0,1,0,0,0,0,0,"[1920, 2322]",0,0,0,0,1,0,0,0,0,0,"[2155, 2322]"
0,0,0,1,0,0,0,0,0,0,"[2491, 2501]",0,0,0,1,0,0,0,0,0,0,"[2485, 2501]"
0,0,0,0,1,0,0,0,0,0,"[2323, 2491]",0,0,0,0,1,0,0,0,0,0,"[2323, 2374]"
0,0,0,0,1,0,0,0,0,0,"[2323, 2491]",0,0,0,0,1,0,0,0,0,0,"[2403, 2485]"
0,0,0,0,1,0,0,0,0,0,"[2501, 2593]",0,0,0,0,1,0,0,0,0,0,"[2496, 2604]"
0,0,0,0,1,0,0,0,0,0,"[2727, 2783]",0,0,0,0,1,0,0,0,0,0,"[2729, 2741]"
0,0,0,1,0,0,0,0,0,0,"[2815, 2831]",0,0,0,1,0,0,0,0,0,0,"[2820, 2835]"
0,0,1,0,0,0,0,0,0,0,"[2872, 2889]",0,0,1,0,0,0,0,0,0,0,"[2873, 2888]"
0,0,0,0,1,0,0,0,0,0,"[2831, 2872]",0,0,0,0,1,0,0,0,0,0,"[2835, 2852]"
0,0,0,0,1,0,0,0,0,0,"[2889, 2947]",0,0,0,0,1,0,0,0,0,0,"[2893, 2942]"
0,0,0,0,1,0,0,0,0,0,"[2981, 3146]",0,0,0,0,1,0,0,0,0,0,"[2984, 2992]"
0,0,0,0,1,0,0,0,0,0,"[2981, 3146]",0,0,0,0,1,0,0,0,0,0,"[3031, 3073]"
0,0,0,0,1,0,0,0,0,0,"[2981, 3146]",0,0,0,0,1,0,0,0,0,0,"[3113, 3132]"
0,0,0,0,1,0,0,0,0,0,"[3172, 3260]",0,0,0,0,1,0,0,0,0,0,"[3191, 3204]"
0,0,0,0,1,0,0,0,0,0,"[3172, 3260]",0,0,0,0,1,0,0,0,0,0,"[3214, 3250]"
0,0,0,0,1,0,0,0,0,0,"[3368, 3729]",0,0,0,0,1,0,0,0,0,0,"[3383, 3417]"
0,0,0,0,1,0,0,0,0,0,"[3368, 3729]",0,0,0,0,1,0,0,0,0,0,"[3518, 3523]"
0,0,0,0,1,0,0,0,0,0,"[3368, 3729]",0,0,0,0,1,0,0,0,0,0,"[3538, 3596]"
0,0,0,0,1,0,0,0,0,0,"[3368, 3729]",0,0,0,0,1,0,0,0,0,0,"[3632, 3678]"
0,0,0,0,1,0,0,0,0,0,"[3368, 3729]",0,0,0,0,1,0,0,0,0,0,"[3707, 3719]"
0,0,0,0,1,0,0,0,0,0,"[3730, 3920]",0,0,0,0,1,0,0,0,0,0,"[3772, 3787]"
0,0,0,0,1,0,0,0,0,0,"[3730, 3920]",0,0,0,0,1,0,0,0,0,0,"[3819, 3833]"
0,0,0,0,1,0,0,0,0,0,"[3950, 4162]",0,0,0,0,1,0,0,0,0,0,"[4023, 4030]"
0,0,0,0,1,0,0,0,0,0,"[3950, 4162]",0,0,0,0,1,0,0,0,0,0,"[4046, 4054]"
0,1,0,0,0,0,0,0,0,0,"[4342, 4365]",0,1,0,0,0,0,0,0,0,0,"[4344, 4364]"
0,1,0,0,0,0,0,0,0,0,"[4409, 4438]",0,1,0,0,0,0,0,0,0,0,"[4421, 4427]"
0,0,0,0,0,1,0,0,0,0,"[4449, 4472]",0,0,0,0,0,1,0,0,0,0,"[4449, 4458]"
0,1,0,0,0,0,0,0,0,0,"[4528, 4576]",0,1,0,0,0,0,0,0,0,0,"[4557, 4576]"
0,0,0,0,1,0,0,0,0,0,"[4265, 4301]",0,0,0,0,1,0,0,0,0,0,"[4289, 4301]"
1,0,0,0,0,0,0,0,0,0,"[1177, 1188]",0,0,0,1,0,0,0,0,0,0,"[1175, 1187]"
0,0,0,0,0,1,0,0,0,0,"[1892, 1906]",0,1,0,0,0,0,0,0,0,0,"[1854, 1908]"
0,1,0,0,0,0,0,0,0,0,"[2593, 2635]",1,0,0,0,0,0,0,0,0,0,"[2603, 2632]"
0,0,0,0,1,0,0,0,0,0,"[2727, 2783]",0,0,1,0,0,0,0,0,0,0,"[2745, 2770]"
0,0,0,0,1,0,0,0,0,0,"[2792, 2815]",0,0,1,0,0,0,0,0,0,0,"[2799, 2817]"
0,1,0,0,0,0,0,0,0,0,"[3920, 3950]",0,0,0,0,0,1,0,0,0,0,"[3917, 3948]"
0,0,0,0,1,0,0,0,0,0,"[3730, 3920]",0,0,1,0,0,0,0,0,0,0,"[3842, 3901]"
0,0,0,0,1,0,0,0,0,0,"[3950, 4162]",0,0,0,0,0,1,0,0,0,0,"[4130, 4160]"
0,1,0,0,0,0,0,0,0,0,"[4528, 4576]",0,0,1,0,0,0,0,0,0,0,"[4506, 4557]"
0,0,0,0,0,1,0,0,0,0,"[2783, 2791]",0,0,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,"[796, 824]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,"[1139, 1152]"
0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,"[1489, 1515]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[2102, 2106]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,"[2946, 2982]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3091, 3101]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3174, 3192]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3370, 3377]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3431, 3477]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3504, 3510]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3600, 3609]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3683, 3704]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,"[3261, 3270]"
