PA-S,PA-V,PA-R,PA-B,No Label,TimeStamp,PA-S,PA-V,PA-R,PA-B,No Label,TimeStamp
0,0,0,1,0,"[2280, 2335]",0,0,0,1,0,"[2274, 2340]"
0,0,0,1,0,"[2420, 2483]",0,0,0,1,0,"[2413, 2423]"
0,0,0,1,0,"[1728, 1830]",0,1,0,0,0,"[1728, 1734]"
0,0,0,0,1,-1,0,0,1,0,0,"[1643, 1656]"
0,0,0,0,1,-1,1,0,0,0,0,"[1658, 1726]"
0,0,0,0,1,-1,0,0,0,1,0,"[2362, 2373]"
0,0,0,0,1,-1,0,0,0,1,0,"[2517, 2534]"
0,0,0,0,1,-1,0,0,0,1,0,"[1619, 1624]"
0,0,0,0,1,-1,0,0,0,1,0,"[1830, 1848]"
0,0,0,0,1,-1,0,0,0,1,0,"[1855, 1860]"
