TF,SR,TR,No Label,TimeStamp,TF,SR,TR,No Label,TimeStamp
1,0,0,0,"[952, 972]",1,0,0,0,"[960, 970]"
1,0,0,0,"[1204, 1218]",1,0,0,0,"[1205, 1216]"
1,0,0,0,"[1301, 1308]",1,0,0,0,"[1304, 1306]"
1,0,0,0,"[1469, 1489]",1,0,0,0,"[1478, 1487]"
1,0,0,0,"[1469, 1489]",1,0,0,0,"[1487, 1514]"
1,0,0,0,"[1492, 1517]",1,0,0,0,"[1487, 1514]"
0,1,0,0,"[1551, 1573]",0,1,0,0,"[1552, 1571]"
1,0,0,0,"[1605, 1616]",1,0,0,0,"[1611, 1614]"
1,0,0,0,"[1815, 1846]",1,0,0,0,"[1814, 1818]"
1,0,0,0,"[1815, 1846]",1,0,0,0,"[1831, 1836]"
1,0,0,0,"[2187, 2207]",1,0,0,0,"[2195, 2205]"
1,0,0,0,"[2428, 2457]",1,0,0,0,"[2437, 2445]"
1,0,0,0,"[2599, 2633]",1,0,0,0,"[2598, 2635]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[3261, 3272]",1,0,0,0,"[3261, 3271]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
0,1,0,0,"[3413, 3439]",0,1,0,0,"[3415, 3453]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
1,0,0,0,"[3973, 3991]",1,0,0,0,"[3980, 4000]"
1,0,0,0,"[4037, 4058]",1,0,0,0,"[4033, 4058]"
1,0,0,0,"[4122, 4131]",1,0,0,0,"[4124, 4130]"
1,0,0,0,"[4140, 4161]",1,0,0,0,"[4140, 4146]"
1,0,0,0,"[4140, 4161]",1,0,0,0,"[4150, 4159]"
1,0,0,0,"[4199, 4260]",1,0,0,0,"[4209, 4259]"
