TF-OS,TF-R,TF-FT,No Label,TimeStamp,TF-OS,TF-R,TF-FT,No Label,TimeStamp
0,0,1,0,"[1589, 1605]",0,0,1,0,"[1597, 1606]"
1,0,0,0,"[1610, 1641]",1,0,0,0,"[1624, 1642]"
1,0,0,0,"[1830, 1884]",1,0,0,0,"[1860, 1884]"
1,0,0,0,"[2171, 2215]",1,0,0,0,"[2188, 2207]"
1,0,0,0,"[2226, 2263]",1,0,0,0,"[2242, 2262]"
0,0,1,0,"[2335, 2353]",0,0,1,0,"[2345, 2353]"
0,1,0,0,"[1976, 2009]",1,0,0,0,"[1964, 2013]"
1,0,0,0,"[2354, 2420]",0,0,0,1,-1
0,0,0,1,-1,0,1,0,0,"[1805, 1825]"
0,0,0,1,-1,0,0,1,0,"[2088, 2099]"
0,0,1,0,"[1589, 1605]",0,0,1,0,"[1597, 1606]"
1,0,0,0,"[1610, 1641]",1,0,0,0,"[1624, 1642]"
1,0,0,0,"[1830, 1884]",1,0,0,0,"[1860, 1884]"
0,0,1,0,"[2090, 2099]",0,0,1,0,"[2088, 2099]"
1,0,0,0,"[2171, 2215]",1,0,0,0,"[2188, 2207]"
1,0,0,0,"[2354, 2420]",1,0,0,0,"[2373, 2413]"
0,1,0,0,"[1976, 2009]",1,0,0,0,"[1964, 2013]"
0,0,1,0,"[1945, 1974]",0,0,0,1,-1
0,0,0,1,-1,0,1,0,0,"[1805, 1825]"
0,0,0,1,-1,0,0,1,0,"[2547, 2560]"
0,0,1,0,"[1589, 1605]",0,0,1,0,"[1597, 1606]"
1,0,0,0,"[2171, 2215]",1,0,0,0,"[2188, 2207]"
1,0,0,0,"[2226, 2263]",1,0,0,0,"[2242, 2262]"
1,0,0,0,"[2354, 2420]",1,0,0,0,"[2373, 2413]"
0,1,0,0,"[1976, 2009]",1,0,0,0,"[1964, 2013]"
0,0,0,1,-1,0,0,1,0,"[1782, 1790]"
1,0,0,0,"[1610, 1641]",1,0,0,0,"[1624, 1642]"
1,0,0,0,"[1830, 1884]",1,0,0,0,"[1860, 1884]"
0,0,1,0,"[2090, 2099]",0,0,1,0,"[2088, 2099]"
1,0,0,0,"[2171, 2215]",1,0,0,0,"[2188, 2207]"
1,0,0,0,"[2226, 2263]",1,0,0,0,"[2242, 2262]"
1,0,0,0,"[2354, 2420]",1,0,0,0,"[2373, 2413]"
0,1,0,0,"[1976, 2009]",1,0,0,0,"[1964, 2013]"
