TR-P,TR-O,No Label,TimeStamp,TR-P,TR-O,No Label,TimeStamp
1,0,0,"[1655, 1687]",0,0,1,-1
1,0,0,"[2010, 2042]",0,0,1,-1
1,0,0,"[2420, 2512]",0,0,1,-1
0,0,1,-1,0,1,0,"[1790, 1805]"
1,0,0,"[1655, 1687]",0,0,1,-1
1,0,0,"[2010, 2042]",0,0,1,-1
1,0,0,"[2420, 2512]",0,0,1,-1
0,0,1,-1,0,1,0,"[2264, 2273]"
1,0,0,"[2116, 2171]",0,0,1,-1
1,0,0,"[2486, 2542]",0,0,1,-1
0,0,1,-1,1,0,0,"[1687, 1695]"
0,0,1,-1,1,0,0,"[1887, 1902]"
0,0,1,-1,1,0,0,"[2235, 2273]"
1,0,0,"[2486, 2542]",0,0,1,-1
0,0,1,-1,0,1,0,"[2235, 2242]"
