TF,PA,SR,TR,No Label,TimeStamp,TF,PA,SR,TR,No Label,TimeStamp
1,0,0,0,0,"[1589, 1605]",1,0,0,0,0,"[1597, 1606]"
1,0,0,0,0,"[1610, 1641]",1,0,0,0,0,"[1624, 1642]"
1,0,0,0,0,"[1830, 1884]",1,0,0,0,0,"[1860, 1884]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2226, 2263]",1,0,0,0,0,"[2242, 2262]"
1,0,0,0,0,"[2335, 2353]",1,0,0,0,0,"[2345, 2353]"
0,0,0,1,0,"[2420, 2512]",0,0,1,0,0,"[2427, 2440]"
0,0,0,1,0,"[1655, 1687]",0,0,0,0,1,-1
0,0,1,0,0,"[1687, 1805]",0,0,0,0,1,-1
0,0,0,1,0,"[2010, 2042]",0,0,0,0,1,-1
1,0,0,0,0,"[2354, 2420]",0,0,0,0,1,-1
0,0,0,0,1,-1,1,0,0,0,0,"[1805, 1825]"
0,0,0,0,1,-1,1,0,0,0,0,"[2088, 2099]"
1,0,0,0,0,"[1589, 1605]",1,0,0,0,0,"[1597, 1606]"
1,0,0,0,0,"[1610, 1641]",1,0,0,0,0,"[1624, 1642]"
1,0,0,0,0,"[1830, 1884]",1,0,0,0,0,"[1860, 1884]"
1,0,0,0,0,"[1945, 1974]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2090, 2099]",1,0,0,0,0,"[2088, 2099]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2354, 2420]",1,0,0,0,0,"[2373, 2413]"
0,0,0,1,0,"[1655, 1687]",0,1,0,0,0,"[1643, 1657]"
0,0,0,1,0,"[2420, 2512]",0,1,0,0,0,"[2412, 2511]"
0,0,0,1,0,"[2010, 2042]",0,0,0,0,1,-1
0,0,0,0,1,-1,1,0,0,0,0,"[1805, 1825]"
0,0,0,0,1,-1,0,1,0,0,0,"[1588, 1597]"
0,0,0,0,1,-1,0,1,0,0,0,"[2179, 2188]"
0,0,0,0,1,-1,0,0,0,1,0,"[2264, 2273]"
0,0,0,0,1,-1,1,0,0,0,0,"[2547, 2560]"
0,0,0,0,1,-1,0,1,0,0,0,"[2446, 2547]"
0,0,0,0,1,-1,0,1,0,0,0,"[2274, 2345]"
1,0,0,0,0,"[1589, 1605]",1,0,0,0,0,"[1597, 1606]"
0,0,1,0,0,"[1649, 1898]",0,0,1,0,0,"[1665, 1730]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2226, 2263]",1,0,0,0,0,"[2242, 2262]"
1,0,0,0,0,"[2354, 2420]",1,0,0,0,0,"[2373, 2413]"
0,0,1,0,0,"[2010, 2170]",0,0,0,0,1,-1
0,0,0,1,0,"[2486, 2542]",0,0,0,0,1,-1
0,0,1,0,0,"[2574, 2624]",0,0,0,0,1,-1
0,0,0,0,1,-1,1,0,0,0,0,"[1782, 1790]"
1,0,0,0,0,"[1610, 1641]",1,0,0,0,0,"[1624, 1642]"
1,0,0,0,0,"[1830, 1884]",1,0,0,0,0,"[1860, 1884]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2090, 2099]",1,0,0,0,0,"[2088, 2099]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2226, 2263]",1,0,0,0,0,"[2242, 2262]"
1,0,0,0,0,"[2354, 2420]",1,0,0,0,0,"[2373, 2413]"
0,0,1,0,0,"[1687, 1787]",1,0,0,0,0,"[1782, 1790]"
0,0,0,1,0,"[2420, 2512]",0,0,1,0,0,"[2423, 2445]"
0,0,0,1,0,"[2010, 2042]",0,0,0,0,1,-1
0,0,0,0,1,-1,1,0,0,0,0,"[1805, 1825]"
0,0,0,0,1,-1,0,0,0,1,0,"[1790, 1805]"
0,0,0,0,1,-1,1,0,0,0,0,"[2547, 2560]"
1,0,0,0,0,"[1610, 1641]",1,0,0,0,0,"[1624, 1642]"
1,0,0,0,0,"[1830, 1884]",1,0,0,0,0,"[1860, 1884]"
1,0,0,0,0,"[1945, 1974]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2226, 2263]",1,0,0,0,0,"[2242, 2262]"
1,0,0,0,0,"[2354, 2420]",1,0,0,0,0,"[2373, 2413]"
0,0,1,0,0,"[1641, 1811]",1,0,0,0,0,"[1805, 1825]"
0,0,0,1,0,"[2420, 2512]",1,0,0,0,0,"[2423, 2444]"
0,0,0,1,0,"[2010, 2042]",0,0,0,0,1,-1
1,0,0,0,0,"[1610, 1641]",1,0,0,0,0,"[1624, 1642]"
1,0,0,0,0,"[1945, 1974]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2226, 2263]",1,0,0,0,0,"[2242, 2262]"
1,0,0,0,0,"[2354, 2420]",1,0,0,0,0,"[2373, 2413]"
0,0,0,1,0,"[2010, 2042]",0,0,0,0,1,-1
0,1,0,0,0,"[1572, 1619]",0,0,0,0,1,-1
0,0,1,0,0,"[1669, 1877]",0,0,0,0,1,-1
0,1,0,0,0,"[1877, 1920]",0,0,0,0,1,-1
0,0,0,0,1,-1,1,0,0,0,0,"[2547, 2560]"
1,0,0,0,0,"[1610, 1641]",1,0,0,0,0,"[1624, 1642]"
1,0,0,0,0,"[1830, 1884]",1,0,0,0,0,"[1860, 1884]"
1,0,0,0,0,"[1945, 1974]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[1976, 2009]",1,0,0,0,0,"[1964, 2013]"
1,0,0,0,0,"[2090, 2099]",1,0,0,0,0,"[2088, 2099]"
1,0,0,0,0,"[2171, 2215]",1,0,0,0,0,"[2188, 2207]"
1,0,0,0,0,"[2226, 2263]",1,0,0,0,0,"[2242, 2262]"
1,0,0,0,0,"[2335, 2353]",1,0,0,0,0,"[2345, 2353]"
1,0,0,0,0,"[2354, 2420]",1,0,0,0,0,"[2373, 2413]"
0,1,0,0,0,"[2280, 2335]",0,1,0,0,0,"[2274, 2340]"
0,1,0,0,0,"[2420, 2483]",0,1,0,0,0,"[2413, 2423]"
