Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[7819, 7828]",0,0,0,1,0,0,0,0,"[7819, 7829]"
0,0,0,0,0,1,0,0,"[7828, 7863]",0,0,0,1,0,0,0,0,"[7819, 7829]"
0,0,0,0,0,1,0,0,"[7828, 7863]",0,0,0,1,0,0,0,0,"[7862, 7874]"
0,0,0,0,0,1,0,0,"[7828, 7863]",0,0,0,0,0,1,0,0,"[7829, 7862]"
0,0,0,1,0,0,0,0,"[7863, 7874]",0,0,0,1,0,0,0,0,"[7862, 7874]"
0,0,0,0,0,1,0,0,"[7874, 7904]",0,0,0,0,0,1,0,0,"[7874, 7937]"
0,0,0,0,0,1,0,0,"[7906, 7938]",0,0,0,0,0,1,0,0,"[7874, 7937]"
0,0,0,0,1,0,0,0,"[7941, 7946]",0,0,0,1,0,0,0,0,"[7945, 7954]"
0,0,0,0,1,0,0,0,"[7941, 7946]",0,0,0,0,1,0,0,0,"[7940, 7973]"
0,0,0,0,1,0,0,0,"[7953, 7971]",0,0,0,1,0,0,0,0,"[7945, 7954]"
0,0,0,0,1,0,0,0,"[7953, 7971]",0,0,0,0,1,0,0,0,"[7940, 7973]"
0,0,0,1,0,0,0,0,"[8081, 8094]",0,0,0,1,0,0,0,0,"[8074, 8094]"
0,1,0,0,0,0,0,0,"[8094, 8114]",0,1,0,0,0,0,0,0,"[8095, 8112]"
0,0,0,0,0,1,0,0,"[8114, 8142]",0,0,0,0,0,1,0,0,"[8114, 8142]"
0,0,0,1,0,0,0,0,"[8142, 8183]",0,1,0,0,0,0,0,0,"[8181, 8192]"
0,0,0,1,0,0,0,0,"[8142, 8183]",0,0,0,1,0,0,0,0,"[8142, 8183]"
0,1,0,0,0,0,0,0,"[8183, 8190]",0,1,0,0,0,0,0,0,"[8181, 8192]"
0,1,0,0,0,0,0,0,"[8196, 8210]",0,1,0,0,0,0,0,0,"[8196, 8210]"
0,1,0,0,0,0,0,0,"[8196, 8210]",0,0,0,0,1,0,0,0,"[8195, 8200]"
0,0,0,0,0,1,0,0,"[8211, 8221]",0,0,0,0,0,1,0,0,"[8211, 8221]"
0,0,0,1,0,0,0,0,"[8383, 8388]",0,1,0,0,0,0,0,0,"[8387, 8401]"
0,0,0,1,0,0,0,0,"[8383, 8388]",0,0,0,1,0,0,0,0,"[8376, 8389]"
0,1,0,0,0,0,0,0,"[8388, 8401]",0,1,0,0,0,0,0,0,"[8387, 8401]"
0,1,0,0,0,0,0,0,"[8388, 8401]",0,0,0,1,0,0,0,0,"[8376, 8389]"
0,1,0,0,0,0,0,0,"[8388, 8401]",0,0,0,0,0,1,0,0,"[8400, 8433]"
0,0,0,0,0,1,0,0,"[8401, 8434]",0,0,0,1,0,0,0,0,"[8433, 8458]"
0,0,0,0,0,1,0,0,"[8401, 8434]",0,0,0,0,0,1,0,0,"[8400, 8433]"
0,0,0,1,0,0,0,0,"[8434, 8457]",0,0,0,1,0,0,0,0,"[8433, 8458]"
